AGILENT TECHNOLOGIES INC,A,43905700538.88,115.79,"1,981,556",116.00,114.16,115.58,114.69,06/09/2023
ALCOA CORPORATION,AA,50599712797.27,35.23,"3,072,409",35.83,34.83,35.61,35.58,06/09/2023
ARES ACQUISITION CORP,AAC,1136126260.5,10.50,"18,277",10.50,10.49,10.49,10.50,06/09/2023
ARES ACQUISITION CORP UNIT 1 COM & 1/5 WT EXP,AAC.U,29900225.6,10.60,101,10.60,10.60,10.60,10.60,06/09/2023
ATA CREATIVITY GLOBAL SPON ADS EACH REP 2 ORD SHS,AACG,8114858.52,1.29,"31,784",1.50,1.23,1.50,1.40,06/09/2023
ARMADA ACQUISITION CORP I,AACI,50795412.79,10.239,120,10.239,10.239,10.239,10.25,06/02/2023
ARMADA ACQUISITION CORP I UNIT 1 CL A & 1/2 WT EXP (13/08/2026),AACIU,716542.65,10.2353,803,10.2353,10.23,10.23,10.33,06/09/2023
ARES ACQUISITION CORPORATION II UNIT 1 CL A & 1/2 WT,AACT.U,418028326.32,10.23,"119,653",10.23,10.2196,10.2199,10.23,06/09/2023
AADI BIOSCIENCE INC,AADI,252419684.4,8.10,"73,770",8.32,8.03,8.23,8.16,06/09/2023
ARLINGTON ASSET INVESTMENT CORP 7% CUM PRF 12/05/2022 SER B USD25,AAICpB,5993105.36,19.3562,144,19.3562,19.3562,19.3562,18.80,06/09/2023
ARLINGTON ASSET INVESTMENT CORP 8.250%CUM RED FIX TO FLT RATE SR C USD25,AAICpC,17171826.21,22.89,639,22.90,22.89,22.90,22.8999,06/09/2023
ARLINGTON ASSET INVESTMENT CORP 6.000% SENIOR NOTES DUE 01/08/2026,AAIN,8346848.0,23.60,"1,517",23.89,23.60,23.89,23.89,06/09/2023
AMERICAN AIRLINES GROUP INC,AAL,111806154276.66,15.57,"21,155,780",15.67,15.31,15.31,15.30,06/09/2023
ALTISOURCE ASSET MANAGEMENT CORP,AAMC,251985899.16,83.29,"25,778",92.00,80.20,91.49,92.10,06/09/2023
ATLANTIC AMERICAN CORP,AAME,2730821.04,2.16,651,2.16,2.155,2.155,2.17,06/09/2023
APOLLO ASSET MANAGEMENT INC 6.375% PREFERRED STOCK SERIES A USD25,AAMpA,137905848.7,24.26,"10,813",24.34,24.05,24.08,24.11,06/09/2023
APOLLO ASSET MANAGEMENT INC 6.375% PREFERRED STOCK SERIES B USD25,AAMpB,115699160.4,24.45,"3,636",24.45,23.7295,24.45,24.47,06/09/2023
THE AARONS COMPANY INC,AAN,1289675508.66,13.98,"240,048",14.39,13.8725,14.37,14.41,06/09/2023
AAON INC,AAON,5374524690.24,95.52,"532,114",96.49,94.46,95.13,95.13,06/09/2023
ADVANCE AUTO PARTS INC,AAP,19594315704.04,63.58,"3,306,495",64.88,63.56,64.65,64.74,06/09/2023
APPLE INC,AAPL,3341702326722.24,180.96,"48,899,973",182.23,180.63,181.50,180.57,06/09/2023
AMERICAN ASSETS TRUST INC,AAT,1880201385.6,19.84,"284,806",19.96,19.52,19.71,19.78,06/09/2023
ALMADEN MINERALS LTD,AAU,10209333.33,0.126,"151,923",0.13,0.125,0.13,0.126,06/09/2023
ALLIANCEBERNSTEIN HOLDING LP,AB,2542023660.0,34.35,"121,413",34.76,34.2201,34.57,34.69,06/09/2023
ABBVIE INC,ABBV,197408113988.82,138.18,"4,359,676",139.1858,137.08,137.56,137.64,06/09/2023
AMERISOURCEBERGEN CORPORATION,ABC,57189019542.62,178.22,"793,799",178.27,175.99,176.62,176.45,06/09/2023
AMERIS BANCORP,ABCB,3550982525.64,35.64,"419,299",36.85,35.26,36.57,36.61,06/09/2023
ABCAM PLC SPON ADS EACH REP 1 ORD SHS,ABCM,2294861139.46,16.82,"3,830,112",17.01,15.95,16.09,16.04,06/09/2023
ABEONA THERAPEUTICS INC,ABEO,286037125.25,4.25,"623,077",4.38,3.79,4.38,4.29,06/09/2023
AMBEV SA SPON ADR EACH REP 1 ORD SHS,ABEV,20327945077.8,3.10,"15,043,375",3.10,3.01,3.02,3.00,06/09/2023
ASBURY AUTOMOTIVE GROUP INC,ABG,11854608969.96,226.26,"121,447",232.53,224.82,232.53,230.90,06/09/2023
ARCA BIOPHARMA INC,ABIO,16826601.18,2.06,"18,178",2.10,2.04,2.07,2.07,06/09/2023
ABM INDUSTRIES INC,ABM,3785644314.72,46.38,"367,695",47.11,46.03,47.11,47.13,06/09/2023
AIRBNB INC,ABNB,190167536181.76,117.86,"7,430,877",122.74,117.45,120.25,115.50,06/09/2023
ACUMEN PHARMACEUTICALS INC,ABOS,554616507.15,4.85,"123,607",4.97,4.76,4.91,4.87,06/09/2023
ARBOR REALTY TRUST INC,ABR,9949018083.27,14.09,"1,688,355",14.17,13.92,14.08,14.13,06/09/2023
ARBOR REALTY TRUST INC SER E CUM RED PFD SHS,ABRpE,55448742.23,17.6999,"4,954",17.81,17.68,17.7475,17.885,06/09/2023
ARBOR REALTY TRUST INC 6.25% SER F FXD/FLTG RATE CUMULATIVE PFD,ABRpF,90464998.4,18.80,"6,553",19.0673,18.66,18.66,18.75,06/09/2023
ABSCI CORP,ABSI,203278210.8,1.68,"371,948",1.78,1.61,1.74,1.70,06/09/2023
ABSOLUTE SOFTWARE CORP,ABST,904881100.2,11.33,"673,416",11.37,11.29,11.37,11.35,06/09/2023
ABBOTT LABORATORIES,ABT,131491526133.45,101.69,"4,275,980",101.975,100.54,100.97,100.78,06/09/2023
ARBUTUS BIOPHARMA CORP,ABUS,536796448.88,2.48,"484,213",2.56,2.48,2.53,2.54,06/09/2023
ABVC BIOPHARMA INC,ABVC,38946944.4,0.60,"4,870",0.65,0.60,0.65,0.63,06/09/2023
ASSOCIATED CAP GROUP INC,AC,53750330.66,35.62,"6,976",36.315,35.62,36.23,36.23,06/09/2023
ARCOSA INC,ACA,3917641171.7,73.18,"235,432",73.54,72.36,73.54,73.33,06/09/2023
ATLANTIC COASTAL ACQUISITIO CORP II UNIT 1 CL A & 1/2 RED WT EXP(13/01/2027),ACABU,6514471.6,10.36,"2,000",10.36,10.36,10.36,10.35,05/22/2023
ACRI CAPITAL ACQUISITION CORPORATIO,ACAC,52198302.03,10.77,231,10.77,10.77,10.77,10.77,06/09/2023
ACRI CAPITAL ACQUISITION CORPORATIO UNIT 1 A & 1/2 RED WT EXP (01/02/2029),ACACU,71040303.1,10.90,"1,211",10.90,10.68,10.90,10.75,06/08/2023
ACADIA PHARMACEUTICALS INC,ACAD,10641260572.32,24.72,"691,361",25.23,24.64,25.02,25.09,06/09/2023
ATLANTIC COASTAL ACQUISITION CORP,ACAH,213547353.72,10.245,"9,392",10.25,10.24,10.24,10.48,06/09/2023
ATLANTIC COASTAL ACQUISITION CORP UNIT 1 CL A COM & 1/3 WT EXP(02/03/2026),ACAHU,11492249.6,10.40,"2,001",10.40,10.22,10.22,10.14,06/07/2023
ATHENA CONSUMER ACQUISITION CORP,ACAQ,65283647.66,10.78,"1,143",10.85,10.73,10.85,10.73,06/09/2023
ATHENA CONSUMER ACQUISITION CORP UNIT 1 CL A & 1/2 WT EXP,ACAQ.U,1053397.89,10.59,284,10.78,10.59,10.78,10.99,06/09/2023
ALSET CAPITAL ACQUISITION CORP,ACAX,58006613.84,10.36,682,10.36,10.36,10.36,10.40,06/08/2023
AURORA CANNABIS INC,ACB,1113826913.42,0.53,"2,712,930",0.542,0.5218,0.5281,0.5233,06/09/2023
ACE GLOBAL BUSINESS ACQUISITION LTD,ACBA,21544743.6,11.15,"1,106",11.20,11.15,11.15,11.15,06/08/2023
ACE GLOBAL BUSINESS ACQUISITION LTD UNIT 1 COM & 1 WT EXP(26/03/2026),ACBAU,1614671.52,11.06,225,11.07,11.06,11.07,10.73,06/08/2023
ACCOLADE INC,ACCD,2462389160.4,13.26,"315,796",13.67,13.20,13.40,13.34,06/09/2023
ACCO BRANDS CORPORATION,ACCO,771601818.68,5.06,"278,889",5.23,5.06,5.22,5.24,06/09/2023
PROFRAC HOLDING CORP,ACDC,1705109253.76,12.64,"585,303",12.8551,12.525,12.81,12.80,06/09/2023
ACCEL ENTERTAINMENT INC,ACEL,576673228.6,9.80,"137,073",10.03,9.78,9.96,9.99,06/09/2023
ACER THERAPEUTICS INC,ACER,72950774.86,0.9622,"132,656",0.97,0.9346,0.95,0.94,06/09/2023
ADICET BIO INC,ACET,746655148.5,5.35,"484,436",5.74,5.32,5.73,5.67,06/09/2023
ARCH CAPITAL GROUP DEP SHS EACH REP 1/1000TH NCUM PFD SER G,ACGLN,339175932.48,19.635,"24,715",19.75,19.61,19.73,19.635,06/09/2023
ARCH CAPITAL GROUP 5.45% NON CUM DEP REP 1/1000 PFD SER F,ACGLO,133079745.32,23.74,"19,815",23.96,23.73,23.80,23.74,06/09/2023
ACERAGEN INC,ACGN,36602442.18,1.63,"10,425",1.67,1.60,1.61,1.62,06/09/2023
ACADIA HEALTHCARE,ACHC,10224602956.3,68.30,"328,470",69.25,68.155,68.89,68.95,06/09/2023
ACHILLES THERAPEUTICS PLC ADS EACH REPR 1 SHARE SPON,ACHL,44239523.32,0.97,"64,688",1.02,0.95,1.01,0.99,06/09/2023
ARCHER AVIATION INC,ACHR,1573383786.0,3.25,"7,543,333",3.51,3.15,3.23,3.06,06/09/2023
ACHIEVE LIFE SCIENCE INC,ACHV,145306324.45,5.95,"117,181",6.48,5.86,5.96,5.91,06/09/2023
ALBERTSONS COMPANIES INC,ACI,20735522279.41,20.81,"1,750,504",20.93,20.805,20.84,20.90,06/09/2023
AC IMMUNE SA,ACIU,60755640.0,2.20,"36,874",2.25,2.19,2.22,2.22,06/09/2023
AXCELIS TECHNOLOGIES INC,ACLS,21141124528.01,172.61,"376,898",176.8899,171.92,175.00,173.28,06/09/2023
ARCELLX INC,ACLX,5089847256.23,40.13,"710,726",41.53,38.79,40.58,40.69,06/09/2023
AECOM,ACM,17159850546.35,83.57,"681,597",83.57,82.65,82.96,83.02,06/09/2023
ACM RESEARCH INC,ACMR,2211659028.09,10.69,"490,811",10.98,10.53,10.76,10.59,06/09/2023
ACCENTURE PLC,ACN,176826655295.52,308.72,"2,202,650",311.17,306.64,309.13,307.33,06/09/2023
ACNB CORP,ACNB,170410750.0,35.30,"10,217",35.94,34.59,35.94,35.94,06/09/2023
ASCENT INDUSTRIES CO,ACNT,45424053.78,9.66,"12,528",10.41,9.66,10.30,10.49,06/09/2023
ACLARION INC,ACON,245596052.5,1.25,"1,177,320",1.34,1.16,1.19,1.28,06/09/2023
ACORDA THERAPEUTICS INC,ACOR,206412455.21,10.03,"14,822",10.76,10.01,10.62,10.84,06/09/2023
ABRDN INCOME CREDIT STRATEGIES FUND 5.250% CUM PERPETUAL PFD STOCK SER A,ACPpA,22123942.1,22.70,291,22.70,22.70,22.70,22.53,06/09/2023
ACRES COMMERCIAL REALTY CORP,ACR,33938923.42,8.42,"9,631",8.50,8.385,8.46,8.4327,06/09/2023
ARES COMMERCIAL REAL ESTATE,ACRE,1815368812.2,9.96,"344,627",10.00,9.88,10.00,10.00,06/09/2023
ACROPOLIS INFRASTRUCTURE ACQ CORP,ACRO,379285078.2,10.29,"278,109",10.30,10.28,10.28,10.29,06/09/2023
ACROPOLIS INFRASTRUCTURE ACQ CORP UNIT 1 CL A & 1/3 WT EXP(30/03/2026),ACRO.U,5242394.85,10.29,"1,200",10.29,10.29,10.29,10.20,06/09/2023
ACLARIS THERAPEUTICS INC,ACRS,1368238149.57,9.39,"259,569",9.40,9.16,9.30,9.28,06/09/2023
ACRIVON THERAPEUTICS INC,ACRV,97974325.0,12.50,"20,648",12.70,12.11,12.50,12.31,06/09/2023
ACELRX PHARMACEUTICALS INC,ACRX,51054887.04,1.24,"315,608",1.25,1.12,1.20,1.11,06/09/2023
ACRES COMMERCIAL REALTY CORP 8.625% CUM RED FXD TO FLOATING PRF SER C,ACRpC,68177927.3,20.38,"5,107",20.60,20.36,20.60,20.31,06/09/2023
ACASTI PHARMA INC,ACST,13286778.26,0.49,"35,205",0.52,0.48,0.48,0.49,06/09/2023
ENACT HLDGS INC,ACT,1401203288.3,25.99,"264,329",26.16,25.37,25.78,25.88,06/09/2023
ACACIA RESEARCH CORP,ACTG,353840966.74,4.58,"142,696",4.595,4.46,4.57,4.59,06/09/2023
ACME UNITED CORP,ACU,44413301.4,25.35,"4,356",25.96,25.20,25.25,25.34,06/09/2023
VIRTUS DIVERSIFIED INCOME & CONVERT,ACV,193034350.73,19.57,"25,096",19.65,19.47,19.56,19.80,06/09/2023
ACV AUCTIONS INC,ACVA,5835142608.43,17.59,"1,381,758",18.59,17.46,18.29,18.26,06/09/2023
ACURX PHARMACEUTICALS INC,ACXP,18748303.14,2.81,"40,005",3.0095,2.78,2.83,2.82,06/09/2023
ADAGENE INC SPON ADS EACH REP 1.25 ORD SHS,ADAG,15913067.5,1.25,"40,813",1.3899,1.20,1.35,1.35,06/09/2023
ADAPTIMMUNE THERAPEUTICS PLC SPON ADS EACH REP 6 ORD SHS,ADAP,133387854.15,0.9874,"1,024,715",1.04,0.9634,1.02,1.01,06/09/2023
AGREE REALTY CORP,ADC,13776213560.59,65.39,"422,172",65.83,65.26,65.83,65.67,06/09/2023
ADC THERAPEUTICS SA,ADCT,327024908.28,2.52,"524,526",2.64,2.44,2.50,2.50,06/09/2023
AGREE REALTY CORP DEP SHS EA REP 1/1000 CUM PFD STK SR A,ADCpA,78509280.15,17.85,"1,655",17.87,17.7401,17.7401,17.8399,06/09/2023
COLOR STAR TECHNOLOGY CO LTD,ADD,127143275.16,1.32,"141,141",1.40,1.24,1.32,1.30,06/09/2023
ADEIA INC,ADEA,1533167444.87,10.39,"391,901",10.63,10.36,10.53,10.54,06/09/2023
26 CAPITAL ACQUISITION CORP,ADER,192580109.13,10.7199,"10,069",10.72,10.71,10.71,10.73,06/08/2023
26 CAPITAL ACQUISITION CORP UNIT 1 CL A COM & 1/2 RED WT EXP,ADERU,905616.18,10.71,101,10.71,10.71,10.71,10.65,05/09/2023
ADVANCED EMISSIONS SOLUTIONS INC,ADES,32856434.52,1.47,"64,734",1.49,1.37,1.37,1.35,06/09/2023
ADIT EDTECH ACQUISITION CORP,ADEX,152436438.55,10.45,"1,103",10.45,10.45,10.45,10.42,06/08/2023
ANALOG DEVICES INC,ADI,157490817739.74,182.46,"3,164,496",185.89,181.08,183.27,181.68,06/09/2023
ADIAL PHARMACEUTICALS INC,ADIL,28273883.5,0.25,"174,534",0.2749,0.2405,0.27,0.26,06/09/2023
ARCHER-DANIELS-MIDLAND CO,ADM,53186068234.26,72.54,"2,281,185",73.16,71.79,72.15,72.20,06/09/2023
ADMA BIOLOGICS INC,ADMA,2643387360.4,3.82,"2,244,973",4.019,3.75,3.98,3.97,06/09/2023
ADAMIS PHARMACEUTICALS CORPORATION,ADMP,13710516.85,2.05,"35,638",2.10,2.01,2.05,2.04,06/09/2023
ADVENT TECHNOLOGIES HLDGS INC,ADN,407954160.77,0.7029,"644,133",0.7684,0.6891,0.722,0.73,06/09/2023
ADIENT PLC,ADNT,7671758828.4,37.64,"679,339",37.98,37.13,37.59,37.38,06/09/2023
EDOC ACQUISITION CORP,ADOC,19635504.54,10.93,"1,025",10.93,10.93,10.93,10.93,06/09/2023
AUTOMATIC DATA PROCESSING INC,ADP,95686309891.74,215.22,"1,295,890",215.68,213.48,214.33,215.19,06/09/2023
AULT DISRUPTIVE TECHNOLOGIES CORP,ADRT,79690703.1,10.59,"677,171",11.235,10.57,10.58,10.57,06/09/2023
AULT DISRUPTIVE TECHNOLOGIES CORP UNIT 1 COM & 3/4 WT EXP,ADRT.U,4540180.2,10.82,"6,592",11.42,10.55,10.55,10.56,06/09/2023
ADS TEC ENERGY PLC,ADSE,60107772.0,6.00,"33,097",6.08,5.31,5.90,6.09,06/09/2023
AUTODESK INC,ADSK,74534074685.49,201.39,"1,348,437",203.35,198.01,200.65,200.16,06/09/2023
ADT INC,ADT,5138107689.96,6.09,"2,241,375",6.18,6.005,6.17,6.16,06/09/2023
ADTHEORENT HOLDING COMPANY INC,ADTH,74645287.2,1.65,"71,367",1.72,1.59,1.63,1.66,06/09/2023
ADTRAN HOLDINGS INC,ADTN,1816151498.58,9.42,"912,768",9.50,9.27,9.31,9.26,06/09/2023
ADITXT INC,ADTX,147217422.0,0.60,"49,352",0.61,0.59,0.61,0.60,06/09/2023
ADDUS HOMECARE CORP,ADUS,2493615460.8,92.48,"170,458",94.51,92.00,94.02,94.32,06/09/2023
ADVERUM BIOTECHNOLOGIES INC,ADVM,250913743.08,1.56,"1,140,168",1.62,1.47,1.50,1.47,06/09/2023
ADAMS DIVERSIFIED EQUITY FUND  INC,ADX,830246885.97,16.19,"124,684",16.2609,16.13,16.16,16.15,06/09/2023
ADDEX THERAPEUTICS LIMITED SPON ADS EACH REP 6 ORD SHS,ADXN,167878644.47,0.67,"46,872",0.6997,0.6576,0.69,0.6851,06/09/2023
ADAMS RESOURCES & ENERGY INC,AE,204119178.12,35.46,"3,467",35.68,35.1101,35.1101,35.22,06/09/2023
ALTENERGY ACQUISITION CORP,AEAE,159017278.32,10.32,"5,114",10.4501,10.32,10.4028,10.33,06/08/2023
ALTENERGY ACQUISITION CORP UNIT 1 CL A & 1/2 WT EXP (29/10/2026),AEAEU,905205.2,10.30,900,10.33,10.25,10.25,10.00,05/19/2023
AMEREN CORP,AEE,28245997411.04,83.36,"1,093,643",83.91,83.275,83.89,83.79,06/09/2023
ABRDN EMERGING MARKETS EQUITY INCOM,AEF,74666208.47,5.27,"16,086",5.32,5.26,5.29,5.26,06/09/2023
AEGON FUNDING COMPANY LLC 5.1% SUB NOTES DUE 15/12/2049 USD25,AEFC,295609733.28,21.93,"14,882",22.113,21.88,22.04,21.96,06/09/2023
ANTELOPE ENTERPRISE HOLDINGS LTD,AEHL,14831212.94,0.961,"482,997",1.06,0.9101,1.02,1.0396,06/09/2023
AEHR TEST SYSTEMS,AEHR,14869885884.66,42.54,"1,033,559",44.25,41.735,43.40,41.13,06/09/2023
ALSET INC,AEI,22118390.6,1.70,"43,649",1.768,1.61,1.71,1.735,06/09/2023
ADVANCED ENERGY INDUSTRIES,AEIS,4817551295.15,105.05,"136,066",106.78,104.20,106.78,106.09,06/09/2023
AMERICAN EQUITY INVT LIFE HLDG CO,AEL,6484148312.55,42.45,"374,096",42.76,42.32,42.63,42.39,06/09/2023
AMERICAN EQUITY INVT LIFE HLDG CO 5.95% DEP SH REP 1/1000 NON CUM PFD SE A,AELpA,129032767.38,22.46,"6,255",22.84,22.46,22.58,22.67,06/09/2023
AMERICAN EQUITY INVT LIFE HLDG CO 6.625% DEP SH REP 1/1000 NON CUM PF SR B,AELpB,160229678.56,24.01,"8,870",24.22,23.91,23.91,23.91,06/09/2023
AGNICO EAGLE MINES LTD,AEM,38922913119.69,50.97,"1,884,859",51.52,50.74,51.28,51.55,06/09/2023
AETHLON MEDICAL INC,AEMD,143294462.03,0.3501,"97,634",0.3564,0.3402,0.3563,0.3441,06/09/2023
AMERICAN EAGLE OUTFITTERS INC,AEO,15419180197.08,11.88,"4,354,697",11.97,11.76,11.90,11.78,06/09/2023
AMERICAN ELECTRIC POWER CO INC,AEP,60322819665.28,83.68,"3,019,655",84.955,83.55,84.68,84.68,06/09/2023
AMERICAN ELEC PWR 6.125% CORPORATE UNITS 15/08/2025,AEPPZ,1309352952.0,48.98,"74,824",49.16,48.93,49.10,49.54,06/09/2023
AERCAP HOLDINGS N.V.,AER,15324729670.74,59.59,"870,185",60.15,59.06,59.74,60.00,06/09/2023
AES CORP,AES,24895546683.7,20.09,"7,058,920",20.53,19.835,20.48,20.41,06/09/2023
AES CORP CORP UNIT,AESC,968934769.92,78.84,"59,037",79.7213,78.31,79.7213,80.0082,06/09/2023
ATLAS ENERGY SOLUTIONS INC,AESI,577004220.24,17.58,"81,476",18.07,17.57,17.86,18.01,06/09/2023
